Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2021	cytosolic large ribosomal subunit (GO:0022625)	48/55	7.797636e-49	2.573220e-46	0	0	9.651830e+01	1.069161e+04	RPL4;RPL5;RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPLP0;RPL11;RPL36A;RPL10A;RPL8;RPL9;RPL6;RPL7;RPL7A;MRPL1;RPL18A;RPL36AL;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL37;RPL15;RPL18;RPL39;RPL17;RPL19;RPL41;RPL21;RPL23;RPL22;RPL13A;RPL35A;RPL23A;RPL27A;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28
GO_Cellular_Component_2021	large ribosomal subunit (GO:0015934)	49/59	1.309319e-47	2.160376e-45	0	0	6.901142e+01	7.449921e+03	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPL7A;MRPL1;RPL18A;RPL36AL;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL39;RPL21;RPL23;RPL22;RPL13A;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;RPL10;RPL12;RPL11;RPL36A;MRPL17;RPL14;RPL13;RPL15;RPL18;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPL27A
GO_Cellular_Component_2021	ribosome (GO:0005840)	44/62	1.745239e-37	1.919762e-35	0	0	3.428301e+01	2.901671e+03	RPL30;RPL32;RPL31;DHX9;RPL11;RPL36A;RPL10A;RPL8;RPL9;RPL6;RPS4X;RPL7A;RPL18A;RPS19;RPS18;RPL36;RPS3;RPL38;RPL15;RPL18;RPL39;RPS10;RPS13;RPL19;BTF3;RPS9;RPL41;RPS7;RPL23;RPS5;RPL13A;SRP68;RPS26;RPS25;RPS28;RPS27;RPS29;APEX1;RPL24;EIF3H;RPL27;RPS21;SF1;RPS23
GO_Cellular_Component_2021	cytosolic small ribosomal subunit (GO:0022627)	33/40	3.134161e-32	2.585683e-30	0	0	6.561243e+01	4.759549e+03	RPS27L;RPS4Y1;RPS15;RPS4X;RPS14;RPS15A;RPS16;RPS19;RPS18;RPS3;RPS2;RPS27A;RPS10;RPS13;EIF2A;RPS12;RPS9;RPS7;RPS8;RPS5;RPS6;RPS3A;RPSA;RPS26;RPS25;RPS28;RPS27;RPS29;RPS20;RPS21;UBA52;RPS24;RPS23
GO_Cellular_Component_2021	small ribosomal subunit (GO:0015935)	33/45	3.455924e-29	2.280910e-27	0	0	3.826364e+01	2.507603e+03	RPS27L;RPS4Y1;RPS15;RPS4X;RPS14;RPS15A;RPS16;RPS19;RPS18;RPS3;RPS2;RPS27A;RPS10;RPS13;EIF2A;RPS12;RPS9;RPS7;RPS8;RPS5;RPS6;RPS3A;RPSA;RPS26;RPS25;RPS28;RPS27;RPS29;RPS20;RPS21;UBA52;RPS24;RPS23
GO_Cellular_Component_2021	polysomal ribosome (GO:0042788)	25/30	6.589410e-25	3.624176e-23	0	0	6.918276e+01	3.852038e+03	RPL30;RPL32;DHX9;RPL31;RPL11;RPL36A;RPL10A;RPL8;RPL6;RPL7A;RPL18A;RPL36;RPL38;RPL18;RPL39;RPL19;BTF3;RPL41;RPS26;RPS28;RPS29;EIF3H;RPL24;RPS21;RPS23
GO_Cellular_Component_2021	focal adhesion (GO:0005925)	78/387	3.402852e-18	1.604202e-16	0	0	3.576540e+00	1.438553e+02	RPL4;ITGB1;RPL5;RPL30;RPL3;RPL31;RPLP1;RPLP0;FHL1;HSPB1;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;PPP1CC;RPL7A;RPS14;RPS16;MPRIP;RPS19;YWHAQ;RPS18;RAC2;CAPN2;RPLP2;RPL38;ITGB7;B2M;RPS10;RPS13;RPS9;ANXA1;PPP1R12A;RPS7;RPS8;RPL23;RPS5;ACTN1;RPL22;RPL13A;IL16;RPS3A;REXO2;YWHAZ;MTF2;RPL37A;RPL27;EVL;ITGA6;PABPC1;CD46;MAPRE1;CD44;FBLN7;RALA;RPL12;CORO1B;CNN2;DPP4;G3BP1;RPS3;CD59;RPS2;RPL18;RPL19;MAPK3;ARL14EP;HSPA8;NPM1;HMGA1;SRP68;SORBS3;RPS29;VIM;LIMS1
GO_Cellular_Component_2021	cell-substrate junction (GO:0030055)	78/394	1.010927e-17	4.170075e-16	0	0	3.495976e+00	1.368083e+02	RPL4;ITGB1;RPL5;RPL30;RPL3;RPL31;RPLP1;RPLP0;FHL1;HSPB1;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;PPP1CC;RPL7A;RPS14;RPS16;MPRIP;RPS19;YWHAQ;RPS18;RAC2;CAPN2;RPLP2;RPL38;ITGB7;B2M;RPS10;RPS13;RPS9;ANXA1;PPP1R12A;RPS7;RPS8;RPL23;RPS5;ACTN1;RPL22;RPL13A;IL16;RPS3A;REXO2;YWHAZ;MTF2;RPL37A;RPL27;EVL;ITGA6;PABPC1;CD46;MAPRE1;CD44;FBLN7;RALA;RPL12;CORO1B;CNN2;DPP4;G3BP1;RPS3;CD59;RPS2;RPL18;RPL19;MAPK3;ARL14EP;HSPA8;NPM1;HMGA1;SRP68;SORBS3;RPS29;VIM;LIMS1
GO_Cellular_Component_2021	intracellular non-membrane-bounded organelle (GO:0043232)	154/1158	5.386614e-16	1.975092e-14	0	0	2.221394e+00	7.809853e+01	RPL4;POP5;SRP19;RPL5;RPL3;GIMAP2;HNRNPR;NUCKS1;GIMAP7;RPL9;CDC14A;RPL7;UXT;PPP1CC;RPS14;FBL;CCND2;RPS19;RPS18;MYC;PIM1;RPL36;RPL35;RPS10;RPS13;TSPYL2;DDX18;RPS9;TSPYL1;RPS7;DIMT1;RPL23;RPS5;RPS6;KRT1;DNTTIP2;ANXA11;LDOC1;HDHD3;TUBA4A;EEF1A1;PREPL;BIN1;MRTO4;SBDS;CMPK1;ANAPC5;RPL27;SRSF5;RPL26;TNIK;LETMD1;SF1;RHNO1;MACF1;DDX5;MEAF6;DHX9;EPB41;RPAP2;CDKN2AIP;CNN2;ORC4;RAD21;MBIP;RRS1;BRIX1;ZNF146;SPTBN1;ARL14EP;PLK3;XRCC6;CBX3;TBCC;PA2G4;TBCA;ISG20;EHD1;CYLD;RPS25;RGCC;RPS27;MPHOSPH10;ATM;MAGED2;ANP32B;RPS23;HP1BP3;HSPB1;CHD3;RPS4X;SNAPC5;RPL7A;RBM4;HINT1;CASP8;RAC2;EMD;CCT3;PPP1R12A;ABHD14B;RPL13A;RHOH;RPS3A;RHOF;REXO2;MZT2B;RBL2;MZT2A;RCN2;SDHAF2;KIF2A;POLR1E;EEF1E1;MAPRE1;ERGIC2;DDX24;NIP7;MVP;RPL11;MRPS31;RPL36A;ADD3;TAF1D;HIRIP3;PNMA1;VPS51;EXOSC8;RPS3;RPL13;DNAJB9;RPL15;RPS2;RPS27A;RPL18;RPL19;MAPK3;NOP56;NOP58;NPM1;STAT1;RPL23A;UBE2G2;RRP1B;SRP68;NPM3;RSL1D1;APEX1;TTC3;TCEA1;RAD1;VIM;MPHOSPH8;RAN
GO_Cellular_Component_2021	nuclear lumen (GO:0031981)	109/745	2.782679e-14	9.182841e-13	0	0	2.443507e+00	7.626864e+01	RPL4;POP5;RPL5;SRP19;RPL3;HNRNPR;NUCKS1;CDC14A;RPL7;PPP1CC;RPS14;FBL;CCND2;RPS19;MYC;RPL36;PIM1;RPL35;RPS10;RPS13;TSPYL2;DDX18;IK;RPS9;TSPYL1;RPS7;DIMT1;RPL23;RPS6;DNTTIP2;LDOC1;HDHD3;EEF1A1;MRTO4;CMPK1;SBDS;RPL27;RPL26;SRSF5;LETMD1;DDX5;MEAF6;DHX9;RPAP2;CDKN2AIP;ORC4;RRS1;MBIP;BRIX1;ZNF146;SPTBN1;ARL14EP;PLK3;JUN;XRCC6;PA2G4;TBCA;ISG20;RPS25;RGCC;MPHOSPH10;ATM;MAGED2;ANP32B;CHD3;SNAPC5;RPL7A;RBM4;PPP1R12A;RPL13A;ABHD14B;RPS3A;REXO2;RBL2;RCN2;SDHAF2;KIF2A;POLR1E;TERF2IP;EEF1E1;ERGIC2;DDX24;NIP7;RPL11;MRPS31;TAF1D;HIRIP3;VPS51;PNMA1;RPS3;RPL13;DNAJB9;RPS2;RPL18;RPS27A;RPL19;NOP56;NOP58;NPM1;STAT1;RPL23A;RRP1B;NPM3;RSL1D1;APEX1;TTC3;TCEA1;MPHOSPH8;RAN
